network,station,Startdate,Enddate,latitude,longitude,elevation,sample_frequency,duration_info,URL1,URL2,URL3
AK,BERG,2013-01-01,2599-12-31,60.3923,-143.7038,474.0,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_BERG_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_BERG_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_BERG_3.jpg
AK,BESE,2003-09-20,2599-12-31,58.5792,-134.8559,867.0,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_BESE_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_BESE_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_BESE_3.jpg
AK,BGLC,2013-01-01,2599-12-31,60.1205,-143.2841,10.0,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_BGLC_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_BGLC_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_BGLC_3.jpg
AK,BMR,2000-08-07,2599-12-31,60.9677,-144.6051,842.0,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_BMR_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_BMR_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_BMR_3.jpg
AK,BPAW,2004-05-13,2599-12-31,64.0997,-150.9873,619.0,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_BPAW_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_BPAW_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_BPAW_3.jpg
AK,BRLK,2008-07-01,2599-12-31,59.7511,-150.9063,409.0,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_BRLK_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_BRLK_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_BRLK_3.jpg
AK,BRSE,2013-07-01,2599-12-31,59.7417,-150.7414,541.0,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_BRSE_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_BRSE_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_BRSE_3.jpg
AK,BWN,2009-08-27,2599-12-31,64.1732,-149.2991,356.0,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_BWN_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_BWN_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_BWN_3.jpg
AK,CAPN,2013-07-01,2599-12-31,60.7683,-151.1539,47.0,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_CAPN_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_CAPN_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_CAPN_3.jpg
AK,CAST,2006-08-05,2599-12-31,63.4188,-152.0844,611.0,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_CAST_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_CAST_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_CAST_3.jpg
AK,CCB,2009-06-30,2599-12-31,64.6453,-147.8053,233.0,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_CCB_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_CCB_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_CCB_3.jpg
AK,CHI,2008-09-15,2599-12-31,55.8218,-155.6225,203.0,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_CHI_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_CHI_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_CHI_3.jpg
AK,CHN,2013-06-27,2599-12-31,54.831,-159.5895,71.0,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_CHN_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_CHN_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_CHN_3.jpg
AK,CHUM,2004-06-02,2599-12-31,63.8822,-152.3172,58.0,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_CHUM_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_CHUM_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_CHUM_3.jpg
AK,CNP,2009-06-18,2599-12-31,59.5251,-151.2373,564.0,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_CNP_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_CNP_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_CNP_3.jpg
AK,COLD,2004-05-19,2599-12-31,67.2269,-150.2038,380.0,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_COLD_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_COLD_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_COLD_3.jpg
AK,CRQ,2010-06-20,2599-12-31,60.7523,-143.0926,1392.3,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_CRQ_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_CRQ_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_CRQ_3.jpg
AK,CTG,2010-06-18,2599-12-31,60.9649,-141.3401,1507.9,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_CTG_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_CTG_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_CTG_3.jpg
AK,CUT,2014-05-15,2599-12-31,62.4058,-150.2625,574.0,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_CUT_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_CUT_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_CUT_3.jpg
AK,CYK,2014-05-21,2599-12-31,60.0823,-142.4872,23.0,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_CYK_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_CYK_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_CYK_3.jpg
AK,DCPH,2002-08-03,2599-12-31,59.0906,-138.2154,674.0,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_DCPH_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_DCPH_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_DCPH_3.jpg
AK,DDM,2009-08-22,2011-12-31,63.7865,-145.8657,930.0,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_DDM_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_DDM_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_DDM_3.jpg
AK,DHY,2008-07-09,2599-12-31,63.0753,-147.3759,1611.0,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_DHY_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_DHY_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_DHY_3.jpg
AK,DIV,1999-01-07,2599-12-31,61.1292,-145.7749,941.4,50,perm,http://folk.uib.no/hif002/glimer-figs/AK_DIV_1.jpg,http://folk.uib.no/hif002/glimer-figs/AK_DIV_2.jpg,http://folk.uib.no/hif002/glimer-figs/AK_DIV_3.jpg
